"publ_id";"cite_key"
152004;"conf/pdis/AmsalegFTU96"
152004;"conf/ride/DogacDKOONEHAKM96"
152004;"conf/sigmod/DogacAEOADAOS94"
152004;"conf/sigmod/DogacHKOONDMAKE96"
152004;"conf/sigmod/DuSD95"
152004;"conf/vldb/Dayal83"
152004;"conf/vldb/DuKS92"
152004;"conf/vldb/HaasKWY97"
152004;"journals/cacm/DogacDO98"
152004;"journals/dpd/EvrendilekDNO97"
152004;"journals/sigmod/DogacDKOONEHAKKM95"
152005;"books/cs/Ullman88"
152005;"books/cs/Ullman89"
152005;"books/mg/CeriP84"
152005;"books/ph/OzsuV91"
152005;"conf/lpar/BryMM91"
152005;"conf/pods/GuptaSUW94"
152005;"conf/vldb/CeriW90"
152005;"conf/vldb/KowalskiSS87"
152005;"journals/acta/Nicolas82"
152005;"journals/jlp/LloydST87"
152019;"books/bu/Rijsbergen79"
152019;"books/mk/Elmagarmid92"
152019;"books/mk/GrayR93"
152019;"conf/edbt/BarbaraGP90"
152019;"conf/pdis/TomasicG93"
152019;"conf/sigir/BuckleyL85"
152019;"conf/sigir/CroftST92"
152019;"conf/sigir/DeFazioDSSCC95"
152019;"conf/sigir/Fuhr92"
152019;"conf/sigir/MittendorfS94"
152019;"conf/sigir/Persin94"
152019;"conf/sigir/Schauble93"
152019;"conf/vldb/Fuhr90"
152019;"journals/cj/HarperW92"
152019;"journals/jcss/ChandraH80"
152019;"journals/tods/Garcia-Molina83"
152028;"conf/icde/AgrawalS95"
152028;"conf/kdd/MannilaTV95"
152028;"conf/sigmod/WangCMSSZ94"
152028;"journals/tcs/AlurD94"
152028;"journals/tkde/AgrawalIS93"
152028;"journals/tkde/BettiniWJL98"
152028;"journals/tods/WangBBJ97"
152035;"books/cs/Ullman88"
152035;"conf/cikm/Fuhr96"
152035;"conf/him/Fuhr95"
152035;"conf/sigir/Allen94"
152035;"conf/sigir/Fuhr92"
152035;"conf/sigir/Fuhr95"
152035;"conf/vldb/Fuhr90"
152035;"conf/vldb/SchekP82"
152035;"journals/cj/HarperW92"
152035;"journals/cj/Rijsbergen86"
152035;"journals/computer/MeghiniRT91"
152035;"journals/debu/Faloutsos95"
152035;"journals/is/SchekS86"
152035;"journals/sigmod/Loeffen94"
152035;"journals/tois/FuhrR97"
152039;"conf/edbt/MohanH94"
152039;"conf/icde/SamarasBCM93"
152039;"conf/podc/MohanL83"
152039;"conf/sigmod/Mohan93"
152039;"conf/sigmod/MohanL92"
152039;"conf/vldb/Mohan90a"
152039;"journals/tods/MohanHLPS92"
152039;"journals/tods/MohanLO86"
152040;"books/cu/MotwaniR95"
152040;"books/mk/Quinlan93"
152040;"conf/aaai/Fisher87"
152040;"conf/dmkd/HanKKM97"
152040;"conf/kdd/Fisher95"
152040;"conf/sigmod/AgrawalIS93"
152040;"conf/sigmod/ZhangRL96"
152040;"conf/vldb/AgrawalS94"
152040;"conf/vldb/NgH94"
152082;"books/mk/Elmagarmid92"
152082;"books/mk/GrayR93"
152082;"conf/sigmod/DayalGHKS93"
152082;"conf/sigmod/Garcia-MolinaS87"
152090;"books/mk/GrayR93"
152090;"conf/icde/GrayBLP96"
152090;"conf/icde/SarawagiS94"
152090;"conf/sigmod/HarinarayanRU96"
152090;"conf/sigmod/Jagadish90"
152090;"conf/vldb/AgarwalADGNRS96"
152090;"journals/sigmod/Colliat96"
152090;"journals/sigmod/ONeilG95"
152090;"journals/tods/LometS90"
152090;"journals/vldb/Guting94"
152091;"conf/icde/StonebrakerO93"
152091;"conf/sigmod/HellersteinS93"
152091;"conf/sigmod/PattersonGK88"
152091;"conf/sigmod/StonebrakerFGM93"
152091;"journals/cacm/StonebrakerK91"
152091;"journals/tkde/StonebrakerRH90"
152091;"journals/tocs/RosenblumO92"
152101;"books/sp/kimrb85/LohmanMHDLSW85"
152101;"journals/cacm/Codd70"
152101;"journals/ibmrd/ChamberlinAEGLMRW76"
152101;"journals/tkde/HaasCLMWLLPCS90"
152101;"journals/tods/AstrahanBCEGGKLMMPTWW76"
152110;"conf/vldb/CeriW90"
152110;"conf/vldb/GehaniJ91"
152110;"conf/vldb/WidomCL91"
152110;"journals/debu/CeriFPT92"
152110;"journals/tods/CeriFPT94"
152115;"books/bc/TanselCGJSS93"
152115;"conf/icde/Chomicki92"
152115;"conf/pods/Chomicki92"
152115;"conf/pods/ChomickiN93"
152115;"conf/ride/TomanC94"
152115;"conf/sigmod/GehaniJS92"
152115;"conf/vldb/WidomCL91"
152115;"journals/is/LipeckS87"
152115;"journals/tods/Chomicki95"
152119;"conf/vldb/BeeriM91"
152119;"conf/vldb/DiazPG91"
152119;"journals/dke/ChakravarthyM94"
152122;"books/mk/elmagarmid92/BuchmannOGM92"
152122;"conf/oodbs/DayalBM88"
152122;"conf/pos/Buchmann90"
152122;"conf/vldb/ChrysanthisR91"
152122;"journals/ijcis/ManolaHGHB92"
152133;"books/aw/BertinoM93"
152133;"conf/ifip/EngelsK94"
152133;"conf/isooms/KappelRR94"
152133;"conf/ride/BusslerJ94"
152133;"journals/cacm/ButterworthOS91"
152133;"journals/tois/GottlobSR96"
152134;"conf/icde/AcharyaFZ96"
152134;"conf/icde/BaruahB97"
152134;"conf/sigmod/AcharyaAFZ95"
152134;"conf/sigmod/HermanGLW87"
152134;"conf/sigmod/ImielinskiVB94"
152134;"conf/sosp/OkiPSS93"
152134;"conf/vldb/AcharyaFZ96"
152134;"journals/cacm/BowenGHHLMRW92"
152134;"journals/cacm/Gifford90"
152134;"journals/pe/AmmarW85"
152136;"books/mk/Elmagarmid92"
152136;"books/mk/elmagarmid92/ShethRK92"
152136;"books/mk/elmagarmid92/WachterR92"
152136;"conf/ride/GeorgakopoulosHK93"
152136;"conf/sigmod/JinRNS93"
152136;"conf/vldb/AnsariNRS92"
152136;"conf/vldb/AttieSSR93"
152136;"conf/vldb/DayalHL91"
152136;"conf/vldb/ElmagarmidLLR90"
152139;"conf/edbt/ChenR94a"
152139;"conf/icdcs/DelisR94"
152139;"conf/pods/HouOT88"
152139;"conf/sigmod/BlakeleyLT86"
152139;"conf/sigmod/ChenR94"
152139;"conf/sigmod/Finkelstein82"
152139;"conf/sigmod/HaasS92"
152139;"conf/sigmod/LiptonNS90"
152139;"conf/sigmod/MuralikrishnaD88"
152139;"conf/sigmod/NgFS91"
152139;"conf/sigmod/Piatetsky-ShapiroC84"
152139;"conf/sigmod/RoussopoulosL85"
152139;"conf/sigmod/SelingerACLP79"
152139;"conf/sigmod/SuLRD93"
152139;"conf/sigmod/SunKN89"
152139;"conf/vldb/ChenR93a"
152139;"conf/vldb/ChouD85"
152139;"conf/vldb/DelisR92"
152139;"conf/vldb/FaloutsosNS91"
